rowid,clue,answer,definition,clue_number,puzzle_date,puzzle_name,source_url,source
88,Intrepid daughter missing parent's sister (9),DAUNTLESS,Intrepid,1a,2020-09-29,Times Quick Cryptic 1711,https://times-xwd-times.livejournal.com/2414349.html,times_xwd_times
89,"Literary genre in South Carolina, one including Kipling poem (3-2)",SCI,Literary genre,6a,2020-09-29,Times Quick Cryptic 1711,https://times-xwd-times.livejournal.com/2414349.html,times_xwd_times
90,Training device transforming Liam's tour (9),SIMULATOR,Training device,8a,2020-09-29,Times Quick Cryptic 1711,https://times-xwd-times.livejournal.com/2414349.html,times_xwd_times
91,Plant serving sauce with meat (5),OXLIP,Plant,9a,2020-09-29,Times Quick Cryptic 1711,https://times-xwd-times.livejournal.com/2414349.html,times_xwd_times
92,Clothing submerged in northern river? (9),UNDERWEAR,Clothing,10a,2020-09-29,Times Quick Cryptic 1711,https://times-xwd-times.livejournal.com/2414349.html,times_xwd_times
93,"Popular act, without doubt (6)",INDEED,without doubt,12a,2020-09-29,Times Quick Cryptic 1711,https://times-xwd-times.livejournal.com/2414349.html,times_xwd_times
94,Position of rubbish in South America (6),STATUS,Position,13a,2020-09-29,Times Quick Cryptic 1711,https://times-xwd-times.livejournal.com/2414349.html,times_xwd_times
95,Element Mendeleev originally found in flowering plant (9),GERMANIUM,Element,16a,2020-09-29,Times Quick Cryptic 1711,https://times-xwd-times.livejournal.com/2414349.html,times_xwd_times
96,"Head of police called, revealing accident (5)",PRANG,accident,18a,2020-09-29,Times Quick Cryptic 1711,https://times-xwd-times.livejournal.com/2414349.html,times_xwd_times
97,Switch posts near ground (9),TRANSPOSE,Switch,19a,2020-09-29,Times Quick Cryptic 1711,https://times-xwd-times.livejournal.com/2414349.html,times_xwd_times
98,"With cunning, son locates youth leaders twice (5)",SLYLY,With cunning,21a,2020-09-29,Times Quick Cryptic 1711,https://times-xwd-times.livejournal.com/2414349.html,times_xwd_times
99,"Stun factory, displaying alyssum, for example (4,5)",ROCK PLANT,"alyssum, for example",22a,2020-09-29,Times Quick Cryptic 1711,https://times-xwd-times.livejournal.com/2414349.html,times_xwd_times
100,Argument inspector advanced in Home Counties (7),DISPUTE,Argument,1d,2020-09-29,Times Quick Cryptic 1711,https://times-xwd-times.livejournal.com/2414349.html,times_xwd_times
101,Destroyed a Parisian serving-girl verbally? (6),UNMADE,Destroyed,2d,2020-09-29,Times Quick Cryptic 1711,https://times-xwd-times.livejournal.com/2414349.html,times_xwd_times
102,Roofer left in middle or row (5),TILER,Roofer,3d,2020-09-29,Times Quick Cryptic 1711,https://times-xwd-times.livejournal.com/2414349.html,times_xwd_times
103,Amphibian originally eaten for tea (3),EFT,Amphibian,4d,2020-09-29,Times Quick Cryptic 1711,https://times-xwd-times.livejournal.com/2414349.html,times_xwd_times
104,Unexpectedly grumpy about quiet revolution (12),SURPRISINGLY,Unexpectedly,5d,2020-09-29,Times Quick Cryptic 1711,https://times-xwd-times.livejournal.com/2414349.html,times_xwd_times
105,"One making meteoric progress at Bisley, say? (8,4)",SHOOTING STAR,One making meteoric progress,6d,2020-09-29,Times Quick Cryptic 1711,https://times-xwd-times.livejournal.com/2414349.html,times_xwd_times
106,Insular type this writer maligns (8),ISLANDER,Insular type,7d,2020-09-29,Times Quick Cryptic 1711,https://times-xwd-times.livejournal.com/2414349.html,times_xwd_times
107,Plea to dine among competitors (8),ENTREATY,Plea,11d,2020-09-29,Times Quick Cryptic 1711,https://times-xwd-times.livejournal.com/2414349.html,times_xwd_times
108,Storm created by English politician during trial (7),TEMPEST,Storm,14d,2020-09-29,Times Quick Cryptic 1711,https://times-xwd-times.livejournal.com/2414349.html,times_xwd_times
109,"Shrub found in Michigan, Missouri and South America? (6)",MIMOSA,Shrub,15d,2020-09-29,Times Quick Cryptic 1711,https://times-xwd-times.livejournal.com/2414349.html,times_xwd_times
110,Model put up by a fabulous writer (5),AESOP,fabulous writer,17d,2020-09-29,Times Quick Cryptic 1711,https://times-xwd-times.livejournal.com/2414349.html,times_xwd_times
111,Part of circle a churchgoer joined (3),ARC,Part of circle,20d,2020-09-29,Times Quick Cryptic 1711,https://times-xwd-times.livejournal.com/2414349.html,times_xwd_times
